,bhk,locality,area,price
0,2,365 Days Majestic Planet,1040,57.2
1,2,365 Days Majestic Planet,1040,57.2
2,2,365 Days Majestic Planet,1040,57.2
3,2,365 Days Majestic Planet,1040,57.2
4,1,365 Days Majestic Planet,670,36.85
5,1,365 Days Majestic Planet,670,36.85
6,1,365 Days Majestic Planet,700,38.5
7,1,365 Days Majestic Planet,700,38.5
8,2,365 Days Majestic Planet,980,53.9
9,2,365 Days Majestic Planet,980,53.9
10,3,5P Bhagwati Heritage,1230,1.2
11,2,5P Bhagwati Heritage,1250,1.1
12,2,5P Bhagwati Heritage,1250,1.18
13,2,5P Bhagwati Heritage,1230,1.16
14,2,5P Bhagwati Heritage,1260,1.23
16,2,5P Bhagwati Heritage,1255,1.0
17,2,5P Bhagwati Heritage,1250,1.19
19,2,5P Bhagwati Heritage,1250,1.25
21,2,5P Bhagwati Heritage,1250,1.25
22,1,A And O A And O Excellente,351,81.0
23,1,A And O A And O Excellente,353,79.0
24,1,A And O A And O Excellente,352,81.5
25,1,A And O A And O Excellente,313,72.5
26,1,A And O A And O Excellente,315,72.0
27,1,A And O A And O Excellente,313,72.5
28,1,A And O A And O Excellente,314,72.0
29,1,A And O Eminente,382,66.87
30,1,A And O Eminente,389,68.05
31,1,A And O Eminente,451,79.0
32,1,A And O Eminente,376,65.75
33,1,A And O Eminente,389,68.09
34,1,A And O Eminente,389,68.09
35,1,A And O Eminente,389,68.09
36,1,A And O Eminente,374,65.42
37,1,A And O Eminente,393,68.75
38,1,A And O Eminente,374,65.45
39,1,A And O Eminente,379,66.39
40,1,A And O Eminente,388,67.83
41,1,A And O Eminente,382,66.83
42,1,A And O Eminente,387,67.68
43,1,A And O Eminente,382,66.79
44,1,A And O Eminente,388,67.98
45,1,A And O Eminente,374,65.42
46,1,A And O Eminente,382,66.79
47,1,A And O Eminente,374,65.45
48,1,A And O Eminente,457,80.01
49,1,A And O Eminente,376,65.75
50,1,A And O Eminente,379,66.39
51,1,A And O Eminente,750,89.0
52,1,A And O Eminente,374,79.0
53,1,A And O Eminente,374,81.0
54,1,A And O Eminente,376,81.5
55,1,A And O Eminente,617,74.0
56,1,A And O Eminente,505,81.0
57,2,A And O F Residences,730,1.65
58,3,A And O F Residences,1074,2.45
59,4,A And O F Residences,1750,4.1
60,2,A And O F Residences,1100,2.1
61,3,A And O F Residences,1500,3.1
62,2,A And O F Residences,735,1.65
63,2,A And O F Residences,730,1.65
64,3,A And O F Residences,1074,2.45
65,2,A And O F Residences,930,1.56
68,2,A And O F Residences,1100,2.5
69,2,A And O F Residences,1100,2.5
71,2,A And O F Residences,850,1.75
73,2,A And O F Residences,930,1.56
74,2,A And O F Residences,1000,1.7
78,3,A And O F Residences,1075,2.5
79,3,A And O F Residences,1074,2.4
80,3,A And O F Residences,935,2.18
81,2,A And O F Residences,1000,2.0
82,2,A And O F Residences,925,1.75
84,2,A And O F Residences,730,1.65
85,3,A And O F Residences,1074,2.45
86,2,A H A H Sapphire,939,84.33
87,1,A H A H Sapphire,695,59.5
89,1,A H A H Sapphire,720,57.15
90,1,A H A H Sapphire,695,58.49
91,1,A H A H Sapphire,695,57.2
92,1,A H A H Sapphire,654,65.15
